"ad.year","trial","F","refbio","ssb","totalbio","catch","rec","hr"
"2007/2008",1,0.4303343525,29195180.6253261,8418275.27215294,40023077.0547399,8012180,15107185,0.275180066433465
"2008/2009",0,0.479984195,29512058.7343488,8269511.3003848,40240402.8860597,8858460,13903829,0.302112474577114
"2008/2009",1,0.479984195,29512058.7343488,8269511.3003848,40240402.8860597,8858460,13903829,0.302112474577114
"2009/2010",0,0.475621965,29923039.2934428,8364736.67898333,40117632.2053017,8878240,10455303,0.298122635498092
"2009/2010",1,0.475621965,29923039.2934428,8364736.67898333,40117632.2053017,8878240,10455303,0.298122635498092
"2010/2011",0,0.4186114875,30058157.6288068,8460430.2504326,39094730.538795,7988060,6760177,0.26508851411142
"2010/2011",1,0.4186114875,30058157.6288068,8460430.2504326,39094730.538795,7988060,6760177,0.26508851411142
"2011/2012",0,0.378433195,31166561.7637665,9039862.4522814,38480217.4145662,7633450,4110582.7,0.245439377252621
"2011/2012",1,0.378433195,31166561.7637665,9039862.4522814,38480217.4145662,7633450,4110582.7,0.245439377252621
"2012/2013",0,0.3275780725,31269119.3285251,9544862.28566354,36627536.420622,6887674,2112988.9,0.22090297355467
"2012/2013",1,0.3275780725,31269119.3285251,9544862.28566354,36627536.420622,6887674,2112988.9,0.22090297355467
"2013/2014",0,0.275174995,31653616.675502,10532208.9600499,35354727.8294947,6150546,1180155.4,0.19646880311137
"2013/2014",1,0.275174995,31653616.675502,10532208.9600499,35354727.8294947,6150546,1180155.4,0.19646880311137
"2014/2015",0,0.2164070975,30629057.303868,11259580.8104458,33426782.5090614,5008596,3787033,0.164365860255131
"2014/2015",1,0.2164070975,30629057.303868,11259580.8104458,33426782.5090614,5008596,3787033,0.164365860255131
"2015/2016",0,0.168729757,29529988.881393,12086778.72402,32469624.0296125,3995785,7840902.4,0.136385191988222
"2015/2016",1,0.168729757,29529988.881393,12086778.72402,32469624.0296125,3995785,7840902.4,0.136385191988222
"2016/2017",0,0.09759397675,28851651.6421568,13011430.8195,32984910.7923384,2407208,10551073,0.0833463347805966
"2016/2017",1,0.09759397675,28851651.6421568,13011430.8195,32984910.7923384,2407208,10551073,0.0833463347805966
"2017/2018",0,0.05226216655061,29027151.436356,14016524.1709877,34854307.5960978,4370003,13846684,0.151890689691534
"2017/2018",1,0.05226216655061,29027151.436356,14016524.1709877,34854307.5960978,4370003,13846684,0.151890689691534
"2018/2019",0,0,28639400.0662708,14067966.3903091,35992027.6009948,0,10747177,0
"2018/2019",1,0.16234326,27698167.23654,13540954.9189159,35045037.327778,3776313.76,10745304,0.135923609952865
"2019/2020",0,0,33269343.6558254,16301735.1449813,41513354.7318237,0,10748351,0
"2019/2020",1,0.15689459,28591561.38026,13511668.9880945,36813460.0655548,3612205.32,10745577,0.125216148462057
"2020/2021",0,0,39078933.2878772,19173390.32338,47539264.027009,0,10748471,0
"2020/2021",1,0.1592067175,30767607.2840423,13906548.5106706,39198491.4670313,3776185.04,10745614,0.121437801502722
"2021/2022",0,0,NA,NA,NA,0,NA,0
"2021/2022",1,0.161878865,NA,NA,NA,1021020.7,NA,0.124450499747147
