"ad.year","trial","F","refbio","ssb","totalbio","catch","rec","hr"
"1992/1993",0,0.9498702225,9162855.93474225,9466658.54392176,16650887.0944815,5037135,2095271.1,0.54747226922636
"1992/1993",1,0.9498702225,9162855.93474225,9466658.54392176,16650887.0944815,5037135,2095271.1,0.54747226922636
"1993/1994",0,0.6994394925,9879687.33877986,9639886.45134062,16543387.0393821,4020068,2159837.2,0.401356707095045
"1993/1994",1,0.6994394925,9879687.33877986,9639886.45134062,16543387.0393821,4020068,2159837.2,0.401356707095045
"1994/1995",0,0.51435251,10713218.0093122,10316392.0618107,16907113.7764166,3769218,2901852.8,0.348811157013748
"1994/1995",1,0.51435251,10713218.0093122,10316392.0618107,16907113.7764166,3769218,2901852.8,0.348811157013748
"1995/1996",0,0.522478545,11366247.7680614,10962489.8596481,17564324.3775009,4395764,2075068,0.388095126942165
"1995/1996",1,0.522478545,11366247.7680614,10962489.8596481,17564324.3775009,4395764,2075068,0.388095126942165
"1996/1997",0,0.401449085,11683835.6813578,11374047.197761,17890558.6798614,3659126,2127238.5,0.311903749660531
"1996/1997",1,0.401449085,11683835.6813578,11374047.197761,17890558.6798614,3659126,2127238.5,0.311903749660531
"1997/1998",0,0.49436022,12160240.0380555,11984554.2719262,18320150.2821542,4622071,1926641,0.381045982552844
"1997/1998",1,0.49436022,12160240.0380555,11984554.2719262,18320150.2821542,4622071,1926641,0.381045982552844
"1998/1999",0,0.4839001125,12250998.2275855,11951649.1390949,18116073.9074267,4528733,2846931.2,0.379397554858519
"1998/1999",1,0.4839001125,12250998.2275855,11951649.1390949,18116073.9074267,4528733,2846931.2,0.379397554858519
"1999/2000",0,0.39301247,11947744.2830937,11657448.4718055,17808069.4521492,3583270,2794975.2,0.30134050392753
"1999/2000",1,0.39301247,11947744.2830937,11657448.4718055,17808069.4521492,3583270,2794975.2,0.30134050392753
"2000/2001",0,0.378115935,12768976.6643318,12330341.773325,19013845.8104291,3412018,4054423.5,0.268975695638445
"2000/2001",1,0.378115935,12768976.6643318,12330341.773325,19013845.8104291,3412018,4054423.5,0.268975695638445
"2001/2002",0,0.3724865675,13610352.2375022,13212652.3253541,20872094.263616,4003993,3354115.7,0.296872163512349
"2001/2002",1,0.3724865675,13610352.2375022,13212652.3253541,20872094.263616,4003993,3354115.7,0.296872163512349
"2002/2003",0,0.36063068,13709076.4892191,13437726.2695117,21836767.0283925,4173487,4433182.5,0.302710948556988
"2002/2003",1,0.36063068,13709076.4892191,13437726.2695117,21836767.0283925,4173487,4433182.5,0.302710948556988
"2003/2004",0,0.3834749025,14600465.9164925,14439531.0357847,23761929.2065344,4619969,5314790.4,0.317113756408233
"2003/2004",1,0.3834749025,14600465.9164925,14439531.0357847,23761929.2065344,4619969,5314790.4,0.317113756408233
"2004/2005",0,0.41691503,15813844.2209899,15525657.4076708,26208217.454365,5462584,6740113.8,0.347357525917482
"2004/2005",1,0.41691503,15813844.2209899,15525657.4076708,26208217.454365,5462584,6740113.8,0.347357525917482
"2005/2006",0,0.5115888,17091368.3469598,16727439.8022896,29341402.9488105,6989783,6196172.9,0.419854851621827
"2005/2006",1,0.5115888,17091368.3469598,16727439.8022896,29341402.9488105,6989783,6196172.9,0.419854851621827
"2006/2007",0,0.5696029575,17024467.13219,16856394.7780203,30988216.4308938,7846209,9682323.5,0.468663998925719
"2006/2007",1,0.5696029575,17024467.13219,16856394.7780203,30988216.4308938,7846209,9682323.5,0.468663998925719
"2007/2008",0,0.5720150425,17862629.7613518,17909585.3731323,34440774.9153678,8414775,8878560.8,0.477614377165896
"2007/2008",1,0.5720150425,17862629.7613518,17909585.3731323,34440774.9153678,8414775,8878560.8,0.477614377165896
"2008/2009",0,0.76762975,18439434.8417308,18488287.9937004,37400153.09608,11056320,10548797,0.616439464709337
"2008/2009",1,0.76762975,18439434.8417308,18488287.9937004,37400153.09608,11056320,10548797,0.616439464709337
"2009/2010",0,0.67903769,18720749.6582492,19168510.9161927,40248474.8522464,10683199,11096590,0.574003146913612
"2009/2010",1,0.67903769,18720749.6582492,19168510.9161927,40248474.8522464,10683199,11096590,0.574003146913612
"2010/2011",0,0.55188547,20486803.8877487,20977983.6594192,44344237.0154784,9963553,7321790.9,0.482163567971954
"2010/2011",1,0.55188547,20486803.8877487,20977983.6594192,44344237.0154784,9963553,7321790.9,0.482163567971954
"2011/2012",0,0.5161253325,25242905.415973,25485660.4187585,49856199.5299624,11295171,5006044.3,0.446177091567926
"2011/2012",1,0.5161253325,25242905.415973,25485660.4187585,49856199.5299624,11295171,5006044.3,0.446177091567926
"2012/2013",0,0.4863763575,29657292.3699122,29812151.215974,52327960.384774,12286874,2788712.7,0.415945787027522
"2012/2013",1,0.4863763575,29657292.3699122,29812151.215974,52327960.384774,12286874,2788712.7,0.415945787027522
"2013/2014",0,0.4956505075,34724359.5742867,34023034.7674936,53245879.6437896,13571654,2971050.2,0.398175734239786
"2013/2014",1,0.4956505075,34724359.5742867,34023034.7674936,53245879.6437896,13571654,2971050.2,0.398175734239786
